Date,Country,City,Specie,count,min (ppb),max (ppb),median (ppb)
2017-02-24,US,Jacksonville,o3,48,4.0,19.0,15.0
2017-02-24,CN,Wuhan,o3,372,0.0,57.0,17.0
2017-02-25,CN,Wuhan,o3,348,0.0,58.0,19.0
2017-02-25,CN,Beijing,o3,446,1.0,51.0,24.0
2017-02-25,US,Manhattan,o3,24,8.0,32.0,27.0
2017-02-25,US,Jacksonville,o3,48,1.0,19.0,9.0
2017-02-25,US,Los Angeles,o3,22,1.0,37.0,19.0
2017-02-25,CN,Shanghai,o3,208,2.0,62.0,31.0
2017-02-25,US,Houston,o3,113,3.0,42.0,25.0
2017-02-26,CN,Wuhan,o3,352,0.0,60.0,14.0
2017-02-26,CN,Shanghai,o3,216,3.0,65.0,34.0
2017-02-26,CN,Beijing,o3,419,1.0,127.0,15.0
2017-02-26,US,Jacksonville,o3,48,10.0,21.0,17.0
2017-02-26,US,Houston,o3,120,2.0,52.0,31.0
2017-02-26,US,Manhattan,o3,24,19.0,31.0,28.0
2017-02-26,US,Los Angeles,o3,24,2.0,39.0,31.0
2017-02-27,US,Jacksonville,o3,47,4.0,21.0,17.0
2017-02-27,CN,Beijing,o3,356,1.0,55.0,7.0
2017-02-27,CN,Wuhan,o3,358,0.0,62.0,14.0
2017-02-27,US,Manhattan,o3,24,3.0,20.0,17.0
2017-02-27,CN,Shanghai,o3,208,3.0,57.0,25.0
2017-02-27,US,Los Angeles,o3,24,14.0,32.0,22.0
2017-02-27,US,Houston,o3,119,3.0,45.0,23.0
2017-02-28,US,Jacksonville,o3,48,0.0,19.0,9.0
2017-02-28,US,Manhattan,o3,24,2.0,23.0,15.0
2017-02-28,CN,Wuhan,o3,388,0.0,59.0,24.0
2017-02-28,US,Los Angeles,o3,24,1.0,42.0,15.0
2017-02-28,US,Houston,o3,119,11.0,36.0,19.0
2017-02-28,CN,Shanghai,o3,216,2.0,57.0,35.0
2017-02-28,CN,Beijing,o3,426,1.0,56.0,23.0
2017-03-01,US,Houston,o3,103,3.0,41.0,22.0
2017-03-01,US,Manhattan,o3,24,6.0,33.0,16.0
2017-03-01,US,Los Angeles,o3,23,1.0,38.0,8.0
2017-03-01,CN,Wuhan,o3,375,0.0,52.0,32.0
2017-03-01,CN,Shanghai,o3,216,3.0,55.0,29.0
2017-03-01,US,Jacksonville,o3,48,4.0,18.0,9.0
2017-03-01,CN,Beijing,o3,450,2.0,52.0,33.0
2017-03-02,US,Manhattan,o3,24,28.0,37.0,33.0
2017-03-02,US,Jacksonville,o3,45,4.0,18.0,10.0
2017-03-02,CN,Wuhan,o3,385,0.0,55.0,25.0
2017-03-02,US,Houston,o3,117,6.0,45.0,32.0
2017-03-02,US,Los Angeles,o3,23,1.0,41.0,6.0
2017-03-02,CN,Shanghai,o3,213,4.0,47.0,32.0
2017-03-02,CN,Beijing,o3,446,1.0,48.0,15.0
2017-03-03,US,Houston,o3,120,1.0,52.0,32.0
2017-03-03,CN,Wuhan,o3,377,0.0,56.0,19.0
2017-03-03,CN,Beijing,o3,372,1.0,46.0,14.0
2017-03-03,CN,Shanghai,o3,208,6.0,57.0,35.0
2017-03-03,US,Manhattan,o3,24,28.0,32.0,31.0
2017-03-03,US,Los Angeles,o3,24,1.0,41.0,6.0
2017-03-03,US,Jacksonville,o3,48,1.0,22.0,15.0
2017-03-04,CN,Beijing,o3,433,1.0,55.0,18.0
