Date,Country,City,Specie,count,min (ug/m3),max (ug/m3),median (ug/m3)
2017-01-29,US,Houston,pm25,94,0.2,23.0,4.8
2017-01-29,CN,Wuhan,pm25,397,74.8,180.7,117.4
2017-01-29,CN,Shanghai,pm25,215,21.1,171.6,41.9
2017-01-29,US,Manhattan,pm25,48,0.4,16.8,8.3
2017-01-29,US,Los Angeles,pm25,45,1.6,53.7,14.4
2017-01-29,US,Jacksonville,pm25,118,0.4,29.2,7.2
2017-01-29,CN,Beijing,pm25,450,3.1,320.1,12.0
2017-01-29,IN,New Delhi,pm25,8,48.9,217.1,131.0
2017-01-30,US,Manhattan,pm25,69,0.2,16.8,8.3
2017-01-30,US,Jacksonville,pm25,114,0.2,28.7,5.0
2017-01-30,CN,Shanghai,pm25,197,7.2,50.9,15.9
2017-01-30,CN,Beijing,pm25,396,3.1,127.1,11.0
2017-01-30,IN,New Delhi,pm25,22,59.3,245.3,132.9
2017-01-30,CN,Wuhan,pm25,390,61.3,176.7,105.8
2017-01-30,US,Los Angeles,pm25,48,2.1,34.9,13.5
2017-01-30,US,Houston,pm25,96,0.4,31.1,6.7
2017-01-31,US,Jacksonville,pm25,114,1.2,49.7,8.1
2017-01-31,US,Manhattan,pm25,60,2.6,15.4,7.2
2017-01-31,US,Los Angeles,pm25,45,6.9,38.3,22.5
2017-01-31,CN,Wuhan,pm25,384,50.9,103.9,69.0
2017-01-31,CN,Shanghai,pm25,213,1.2,21.1,11.0
2017-01-31,IN,New Delhi,pm25,24,63.2,221.1,140.7
2017-01-31,US,Houston,pm25,96,0.9,19.2,4.8
2017-01-31,CN,Beijing,pm25,441,3.1,187.8,90.3
2017-02-01,IN,New Delhi,pm25,24,54.1,195.9,111.6
2017-02-01,CN,Wuhan,pm25,389,2.1,82.6,57.4
2017-02-01,US,Los Angeles,pm25,55,3.6,46.4,22.0
2017-02-01,CN,Beijing,pm25,455,3.1,275.7,12.0
2017-02-01,US,Houston,pm25,96,2.6,15.4,7.2
2017-02-01,CN,Shanghai,pm25,213,6.0,90.3,15.9
2017-02-01,US,Manhattan,pm25,48,1.9,15.4,7.2
2017-02-01,US,Jacksonville,pm25,107,1.2,14.4,4.0
2017-02-02,US,Los Angeles,pm25,72,0.2,38.7,16.8
2017-02-02,US,Houston,pm25,96,2.8,32.0,12.1
2017-02-02,US,Jacksonville,pm25,106,1.2,25.8,6.7
2017-02-02,CN,Beijing,pm25,436,3.1,414.0,88.4
2017-02-02,CN,Wuhan,pm25,404,35.9,88.4,63.2
2017-02-02,IN,New Delhi,pm25,23,54.1,300.9,180.7
2017-02-02,CN,Shanghai,pm25,214,4.0,96.1,14.0
2017-02-02,US,Manhattan,pm25,67,0.7,11.2,6.0
2017-02-03,US,Los Angeles,pm25,71,1.9,25.8,13.0
2017-02-03,CN,Shanghai,pm25,216,4.0,32.0,14.9
2017-02-03,CN,Wuhan,pm25,407,17.8,103.9,61.3
2017-02-03,US,Jacksonville,pm25,114,1.2,26.8,7.2
2017-02-03,US,Manhattan,pm25,72,1.9,12.5,6.9
2017-02-03,IN,New Delhi,pm25,13,111.6,281.7,201.9
2017-02-03,CN,Beijing,pm25,454,59.3,376.2,177.7
2017-02-03,US,Houston,pm25,96,3.6,23.5,8.8
2017-02-04,IN,New Delhi,pm25,4,144.5,154.5,148.4
2017-02-04,CN,Wuhan,pm25,378,16.8,76.8,44.8
2017-02-04,US,Los Angeles,pm25,68,1.9,24.9,10.5
2017-02-04,CN,Beijing,pm25,448,3.1,532.1544072398191,315.0
2017-02-04,CN,Shanghai,pm25,215,14.9,105.8,54.1
2017-02-04,US,Houston,pm25,96,3.6,27.3,9.1
2017-02-04,US,Jacksonville,pm25,113,2.6,18.2,7.2
2017-02-04,US,Manhattan,pm25,72,1.4,12.1,7.4
2017-02-05,US,Jacksonville,pm25,104,4.0,22.0,9.1
2017-02-05,IN,New Delhi,pm25,24,100.0,173.7,132.9
2017-02-05,US,Los Angeles,pm25,67,0.7,29.2,10.8
2017-02-05,US,Manhattan,pm25,72,5.0,20.6,9.3
2017-02-05,US,Houston,pm25,96,2.4,16.3,7.9
2017-02-05,CN,Beijing,pm25,439,3.1,411.0,11.0
2017-02-05,CN,Shanghai,pm25,216,82.6,152.5,113.6
2017-02-05,CN,Wuhan,pm25,380,24.9,131.0,52.9
2017-02-06,CN,Wuhan,pm25,381,38.7,129.0,76.8
2017-02-06,IN,New Delhi,pm25,23,41.9,272.7,177.7
2017-02-06,US,Manhattan,pm25,72,3.3,26.3,10.3
2017-02-06,US,Los Angeles,pm25,60,0.4,16.8,4.3
2017-02-06,US,Houston,pm25,96,3.6,21.1,7.4
2017-02-06,US,Jacksonville,pm25,109,4.0,31.1,11.0
2017-02-06,CN,Beijing,pm25,419,3.1,63.2,8.1
2017-02-06,CN,Shanghai,pm25,216,9.1,155.5,84.5
2017-02-07,US,Los Angeles,pm25,71,0.2,16.8,4.3
2017-02-07,US,Jacksonville,pm25,110,2.1,35.9,7.6
2017-02-07,US,Houston,pm25,90,1.2,21.1,7.9
2017-02-07,CN,Shanghai,pm25,216,3.1,30.1,14.0
2017-02-07,IN,New Delhi,pm25,20,41.9,140.7,63.2
2017-02-07,US,Manhattan,pm25,65,4.0,34.9,12.0
2017-02-07,CN,Beijing,pm25,350,3.1,134.9,69.0
2017-02-07,CN,Wuhan,pm25,399,16.8,129.0,52.9
2017-02-08,CN,Shanghai,pm25,215,4.0,31.1,14.0
2017-02-08,US,Houston,pm25,92,1.9,19.7,12.1
2017-02-08,IN,New Delhi,pm25,13,23.9,212.0,140.7
2017-02-08,US,Los Angeles,pm25,50,0.2,14.9,7.2
2017-02-08,US,Manhattan,pm25,65,0.4,35.9,6.9
2017-02-08,CN,Wuhan,pm25,374,15.9,107.7,33.9
2017-02-08,US,Jacksonville,pm25,103,0.2,18.7,4.3
2017-02-08,CN,Beijing,pm25,418,3.1,138.7,13.0
2017-02-09,CN,Wuhan,pm25,397,46.0,129.0,76.8
2017-02-09,US,Houston,pm25,96,4.3,46.4,10.0
2017-02-09,US,Jacksonville,pm25,102,1.2,16.3,5.0
2017-02-09,US,Manhattan,pm25,88,0.2,19.2,5.7
2017-02-09,US,Los Angeles,pm25,50,0.7,28.2,10.0
2017-02-09,CN,Beijing,pm25,336,3.1,17.8,7.2
2017-02-09,IN,New Delhi,pm25,21,57.4,213.0,105.8
2017-02-09,CN,Shanghai,pm25,216,23.9,115.5,67.1
2017-02-10,CN,Wuhan,pm25,398,29.2,136.8,69.0
2017-02-10,US,Jacksonville,pm25,93,0.2,25.4,4.3
2017-02-10,CN,Beijing,pm25,445,3.1,31.1,7.2
2017-02-10,CN,Shanghai,pm25,216,21.1,88.4,35.9
2017-02-10,US,Los Angeles,pm25,71,3.6,32.0,10.0
2017-02-10,IN,New Delhi,pm25,24,21.1,227.1,127.1
2017-02-10,US,Manhattan,pm25,89,0.9,16.3,6.2
2017-02-10,US,Houston,pm25,96,5.7,22.5,9.6
2017-02-11,US,Houston,pm25,96,7.2,13.5,9.6
2017-02-11,US,Manhattan,pm25,96,5.5,29.2,14.4
2017-02-11,US,Los Angeles,pm25,70,1.2,34.9,7.2
2017-02-11,CN,Beijing,pm25,452,3.1,824.4000723981901,21.1
2017-02-11,IN,New Delhi,pm25,23,32.0,200.9,115.5
2017-02-11,CN,Shanghai,pm25,215,17.8,74.8,42.8
2017-02-11,US,Jacksonville,pm25,94,0.4,22.5,8.3
2017-02-11,CN,Wuhan,pm25,374,14.0,179.7,46.8
2017-02-12,US,Los Angeles,pm25,70,2.1,57.4,10.5
2017-02-12,US,Houston,pm25,96,5.5,21.6,11.5
2017-02-12,US,Manhattan,pm25,96,0.2,32.0,9.3
2017-02-12,IN,New Delhi,pm25,24,80.6,181.7,123.2
2017-02-12,CN,Beijing,pm25,456,29.2,421.6,121.3
2017-02-12,US,Jacksonville,pm25,94,2.4,29.2,6.7
2017-02-12,CN,Wuhan,pm25,398,26.8,461.0,70.9
2017-02-12,CN,Shanghai,pm25,214,44.0,82.6,63.2
2017-02-13,US,Jacksonville,pm25,92,0.2,13.5,4.5
2017-02-13,CN,Beijing,pm25,452,5.0,285.8,90.3
2017-02-13,CN,Shanghai,pm25,215,37.9,82.6,59.3
2017-02-13,IN,New Delhi,pm25,23,40.7,176.7,129.0
2017-02-13,US,Los Angeles,pm25,69,1.4,32.5,12.0
2017-02-13,US,Manhattan,pm25,96,1.2,35.5,7.2
2017-02-13,US,Houston,pm25,96,6.7,23.5,11.5
2017-02-13,CN,Wuhan,pm25,406,29.2,146.5,70.9
2017-02-14,US,Manhattan,pm25,96,1.2,36.7,10.0
2017-02-14,US,Los Angeles,pm25,71,0.7,24.9,11.0
2017-02-14,IN,New Delhi,pm25,23,39.9,202.9,151.5
2017-02-14,US,Houston,pm25,92,0.2,12.5,4.0
2017-02-14,CN,Beijing,pm25,456,3.1,264.6,178.7
2017-02-14,CN,Shanghai,pm25,214,48.0,94.2,65.1
2017-02-14,CN,Wuhan,pm25,396,31.1,113.6,50.1
2017-02-14,US,Jacksonville,pm25,103,1.9,32.0,6.9
2017-02-15,IN,New Delhi,pm25,23,57.4,200.9,119.4
2017-02-15,CN,Beijing,pm25,441,3.1,395.9,245.3
2017-02-15,US,Houston,pm25,88,0.2,17.3,2.8
2017-02-15,CN,Shanghai,pm25,216,39.9,107.7,61.3
2017-02-15,US,Los Angeles,pm25,70,1.2,48.9,15.9
2017-02-15,CN,Wuhan,pm25,397,38.7,153.5,76.8
2017-02-15,US,Jacksonville,pm25,120,4.0,28.2,7.4
2017-02-15,US,Manhattan,pm25,96,2.6,38.3,10.8
2017-02-16,US,Jacksonville,pm25,114,1.2,17.3,4.0
2017-02-16,US,Houston,pm25,96,0.4,16.3,7.4
2017-02-16,CN,Wuhan,pm25,388,59.3,164.6,86.4
2017-02-16,CN,Beijing,pm25,352,3.1,298.9,15.9
2017-02-16,IN,New Delhi,pm25,24,39.9,217.1,100.0
2017-02-16,US,Manhattan,pm25,96,1.2,16.3,7.6
2017-02-16,CN,Shanghai,pm25,202,23.0,52.1,39.9
